,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
368,khandbari,27.3747,87.2039,10.59,56,3,1.82,NP,1676232763
369,ixtapa,20.7,-105.2,27.57,51,40,4.12,MX,1676232764
370,hanzhong,33.0728,107.0303,5.12,93,100,0.98,CN,1676232765
371,esna,25.2934,32.554,16.66,24,100,7.48,EG,1676232766
372,manaure,11.7751,-72.4445,30.51,50,2,9.58,CO,1676232767
373,mahajanga,-15.7167,46.3167,24.64,82,100,2.61,MG,1676232768
374,marystown,47.1666,-55.1483,-2.85,86,100,8.93,CA,1676232769
375,tongchuan,35.0806,109.0897,2.59,99,100,1.44,CN,1676232769
376,leibnitz,46.7816,15.5384,3.37,67,33,0.45,AT,1676232770
377,matui,-4.8,38.25,19.72,84,100,1.71,TZ,1676232771
378,mogzon,51.7435,111.9606,-19.48,93,41,2.73,RU,1676232772
379,monteagudo,-19.8167,-63.9833,29.71,45,84,1.75,BO,1676232773
380,riacho de santana,-13.6092,-42.9389,30.46,44,22,3.43,BR,1676232774
381,la palma,33.8464,-118.0467,17.1,57,20,4.12,US,1676232775
382,hasaki,35.7333,140.8333,9.01,92,100,3.5,JP,1676232776
383,talaya,61.3833,152.75,-30.84,100,100,0.67,RU,1676232777
384,olafsvik,64.8945,-23.7142,4.13,96,100,10.64,IS,1676232777
385,sao borja,-28.6606,-56.0044,39.41,13,0,3.48,BR,1676232695
386,emba,48.8264,58.1442,-12.51,94,100,2.77,KZ,1676232778
387,rio gallegos,-51.6226,-69.2181,15.75,27,100,7.59,AR,1676232777
388,kalmar,56.6616,16.3616,4.96,93,0,3.6,SE,1676232779
389,harper,4.375,-7.7169,26.66,84,5,2.65,LR,1676232780
390,zhigansk,66.7697,123.3711,-40.05,97,24,4.19,RU,1676232781
391,nenjiang,49.1833,125.2167,-26.68,100,74,0.42,CN,1676232782
392,tura,25.5198,90.2201,15.45,44,0,0.55,IN,1676232783
393,taicheng,38.731,113.228,-6.79,86,93,2.21,CN,1676232784
394,zheleznodorozhnyy,55.7503,38.0042,-5.9,98,41,1.86,RU,1676232786
395,ribas do rio pardo,-20.4431,-53.7592,24.36,86,100,3.59,BR,1676232788
396,nome,64.5011,-165.4064,-20.96,77,100,7.72,US,1676232789
397,kerema,-7.9631,145.7785,24.39,90,100,2.73,PG,1676232790
398,codrington,-38.2667,141.9667,15.07,58,99,4.83,AU,1676232792
399,boden,65.8252,21.6886,3.0,65,98,7.77,SE,1676232793
400,turayf,31.6725,38.6637,6.91,50,4,1.89,SA,1676232794
401,flinders,-34.5833,150.8552,18.99,89,100,0.89,AU,1676232796
402,joinville,-26.3044,-48.8456,30.61,65,28,2.86,BR,1676232704
403,paita,-5.0892,-81.1144,27.81,63,29,6.66,PE,1676232798
404,karratha,-20.7377,116.8463,29.86,67,67,6.03,AU,1676232799
405,balestrand,61.2076,6.5334,7.21,98,100,2.52,NO,1676232800
406,tessalit,20.1986,1.0114,26.14,16,79,5.22,ML,1676232571
407,luangwa,-15.6167,30.4167,23.21,94,100,1.43,ZM,1676232550
408,kodinsk,58.6881,99.1844,-26.05,100,85,1.2,RU,1676232802
409,tucupita,9.0622,-62.051,27.96,65,86,3.44,VE,1676232803
410,coihaique,-45.5752,-72.0662,14.97,41,40,4.12,CL,1676232804
411,fairbanks,64.8378,-147.7164,-17.73,81,100,0.0,US,1676232806
412,tommot,58.9564,126.2925,-14.26,90,100,4.69,RU,1676232807
413,merauke,-8.4667,140.3333,25.44,90,100,5.89,ID,1676232808
414,novyy urgal,51.0736,132.5642,-31.84,100,93,0.76,RU,1676232809
415,gondar,12.6,37.4667,18.44,33,4,2.21,ET,1676232810
416,kashary,49.04,41.0056,-6.61,92,72,5.62,RU,1676232811
417,morehead,37.2711,-87.1764,12.77,31,0,4.12,US,1676232812
418,gat,31.61,34.7642,10.22,79,51,1.0,IL,1676232813
419,paris,48.8534,2.3488,6.73,87,0,4.63,FR,1676232149
420,baruun-urt,46.6806,113.2792,-20.29,92,5,2.43,MN,1676232815
421,novaya igirma,57.1334,103.9112,-24.97,99,36,1.36,RU,1676232815
422,namatanai,-3.6667,152.4333,26.25,83,100,1.68,PG,1676232816
423,laizhou,37.1717,119.9214,-0.61,61,100,10.06,CN,1676232817
424,klyuchi,52.2667,79.1667,-23.39,100,71,2.61,RU,1676232817
425,cayenne,4.9333,-52.3333,27.02,83,100,4.63,GF,1676232818
426,halifax,44.6453,-63.5724,6.79,54,39,6.17,CA,1676232819
427,saurimo,-9.6608,20.3916,18.36,96,98,1.3,AO,1676232820
428,grants,35.1473,-107.8514,13.13,19,0,3.6,US,1676232786
429,rondonopolis,-16.4708,-54.6356,30.37,62,45,1.28,BR,1676232821
430,seymchan,62.8833,152.4333,-32.06,98,99,0.59,RU,1676232733
431,muyezerskiy,63.9333,31.65,1.85,88,100,6.97,RU,1676232822
432,sola,-13.8833,167.55,28.07,77,100,7.83,VU,1676232823
433,acapulco,16.8634,-99.8901,29.9,66,0,3.6,MX,1676232569
434,malmyzh,56.5205,50.6818,-7.29,95,100,5.04,RU,1676232824
435,jieshi,22.8134,115.8257,19.69,95,82,1.42,CN,1676232825
436,am timan,11.0297,20.2827,30.03,14,4,2.29,TD,1676232825
437,tual,-5.6667,132.75,28.15,79,100,8.92,ID,1676232534
438,maceio,-9.6658,-35.7353,28.69,69,40,5.14,BR,1676232827
439,bella union,-30.2752,-57.6007,41.19,10,0,5.24,UY,1676232827
440,nishihara,26.1842,127.7558,21.6,94,75,6.69,JP,1676232828
441,nedryhayliv,50.834,33.8763,-5.64,87,23,6.35,UA,1676232829
442,chipinge,-20.1883,32.6236,18.69,98,100,2.41,ZW,1676232830
443,yarada,17.65,83.2667,24.18,100,0,1.03,IN,1676232830
444,lloydminster,53.2835,-110.0016,-0.43,82,100,4.66,CA,1676232755
445,wiwili,13.6268,-85.8254,30.13,40,41,7.93,NI,1676232832
446,portland,45.5234,-122.6762,11.69,81,100,0.89,US,1676232571
447,srednekolymsk,67.45,153.6833,-36.88,100,100,0.54,RU,1676232834
448,mollendo,-17.0231,-72.0147,25.05,74,36,3.36,PE,1676232836
449,sao filipe,14.8961,-24.4956,21.61,78,100,2.88,CV,1676232553
450,mitsamiouli,-11.3847,43.2844,26.75,77,100,1.17,KM,1676232838
451,killybegs,54.6333,-8.45,7.84,78,79,5.48,IE,1676232839
452,norman wells,65.282,-126.8329,-23.98,70,75,1.54,CA,1676232837
453,khandyga,62.6667,135.6,-41.86,99,80,0.99,RU,1676232840
454,vanimo,-2.6741,141.3028,24.91,91,98,3.08,PG,1676232841
455,hamilton,39.1834,-84.5333,13.51,21,0,5.14,US,1676232608
456,moree,-29.4667,149.85,20.07,38,0,3.24,AU,1676232843
457,watsa,3.0372,29.5355,23.12,30,10,1.0,CD,1676232844
458,komsomolskiy,40.4272,71.7189,-2.6,86,87,2.06,UZ,1676232845
459,saint anthony,45.0205,-93.218,4.97,61,0,3.6,US,1676232846
460,tezu,27.9167,96.1667,15.3,78,100,1.85,IN,1676232847
461,pozoblanco,38.3791,-4.8483,5.97,78,35,1.01,ES,1676232848
462,hanna,51.6334,-111.9018,-1.75,73,66,4.02,CA,1676232401
463,muros,42.7762,-9.0603,10.61,67,100,1.87,ES,1676232838
464,bangarmau,26.9,80.2167,12.62,32,0,4.46,IN,1676232850
465,petropavlovsk-kamchatskiy,53.0452,158.6483,-20.67,65,0,5.0,RU,1676232792
466,cadereyta,25.5833,-99.9833,19.82,22,61,4.65,MX,1676232851
467,ternate,0.8,127.4,26.69,82,100,3.78,ID,1676232852
468,gashua,12.871,11.0482,23.49,18,0,4.47,NG,1676232853
469,buluang,13.3068,123.3425,22.09,95,34,1.32,PH,1676232855
470,luderitz,-26.6481,15.1594,17.87,90,0,2.33,NA,1676232751
471,lasa,46.6166,10.7002,6.49,75,14,0.87,IT,1676232857
472,kiboga,0.9161,31.7742,19.65,48,43,0.89,UG,1676232858
473,juneau,58.3019,-134.4197,4.56,97,100,4.63,US,1676232859
474,tendukheda,23.4,79.55,15.38,28,0,2.35,IN,1676232861
475,shache,38.4167,77.2406,2.06,50,0,1.59,CN,1676232863
476,coquimbo,-29.9533,-71.3436,21.85,68,0,5.66,CL,1676232864
477,manokwari,-0.8667,134.0833,25.44,81,100,2.53,ID,1676232865
478,vasteras,59.6162,16.5528,2.14,86,100,2.06,SE,1676232866
479,moerai,-22.4333,-151.3333,26.71,74,99,2.61,PF,1676232867
480,mazyr,52.0495,29.2456,-4.67,91,88,3.5,BY,1676232869
481,ormoz,46.4114,16.1544,3.57,86,84,0.72,SI,1676232869
482,puerto narino,-3.7703,-70.3831,28.54,81,64,1.4,CO,1676232870
483,san felipe,10.3399,-68.7425,25.31,80,50,3.97,VE,1676232871
484,meulaboh,4.1363,96.1285,24.4,89,100,2.43,ID,1676232770
485,sinnamary,5.3833,-52.95,25.55,88,86,5.46,GF,1676232875
486,aripuana,-9.1667,-60.6333,30.01,62,32,0.4,BR,1676232877
487,saint george,37.1041,-113.5841,14.68,28,0,1.79,US,1676232817
488,nzerekore,7.7562,-8.8179,25.05,61,38,0.74,GN,1676232878
489,dakar,14.6937,-17.4441,21.49,88,0,4.12,SN,1676232359
490,atyashevo,54.5644,46.0691,-7.16,97,100,1.63,RU,1676232880
491,santa luzia,-19.7697,-43.8514,25.6,67,40,5.66,BR,1676232883
492,niagara falls,43.1001,-79.0663,8.91,44,0,4.12,CA,1676232887
493,nadvoitsy,63.8667,34.3167,-1.54,96,100,5.37,RU,1676232888
494,lalmohan,22.3384,90.7419,21.9,89,0,3.12,BD,1676232890
495,buchanan,5.8808,-10.0467,26.11,87,25,3.4,LR,1676232891
496,papetoai,-17.4961,-149.8729,29.77,76,97,5.03,PF,1676232892
497,berdigestyakh,62.0989,126.6992,-29.98,97,100,2.86,RU,1676232830
498,yar-sale,66.8333,70.8333,-12.12,93,81,8.22,RU,1676232893
499,waycross,31.2136,-82.354,12.21,70,100,5.14,US,1676232894
500,umm kaddadah,13.6017,26.6876,20.89,17,1,6.69,SD,1676232895
501,barentu,15.1139,37.5928,23.02,58,0,2.88,ER,1676232896
502,camargo,27.6667,-105.1667,19.51,14,100,4.09,MX,1676232896
503,kisangani,0.5167,25.2,27.15,39,100,1.41,CD,1676232897
504,waingapu,-9.6567,120.2641,25.13,87,100,2.95,ID,1676232898
505,cabadiangan,9.7531,122.4739,23.83,89,54,2.97,PH,1676232898
506,college,64.8569,-147.8028,-17.18,79,100,0.0,US,1676232900
507,wellington,-41.2866,174.7756,18.92,70,75,2.57,NZ,1676232846
508,kurilsk,45.2333,147.8833,-6.01,77,71,5.43,RU,1676232744
509,bambanglipuro,-7.95,110.2833,23.41,93,100,1.49,ID,1676232902
510,port shepstone,-30.7414,30.455,25.05,88,100,3.16,ZA,1676232903
511,sarangani,5.4033,125.4636,26.78,75,100,0.57,PH,1676232904
512,nioro,13.35,-15.75,31.62,21,100,3.97,GM,1676232906
513,vilhena,-12.7406,-60.1458,31.12,51,40,3.6,BR,1676232907
514,elizabeth city,36.2946,-76.2511,13.01,99,100,5.66,US,1676232909
515,yuncheng,35.0231,110.9928,3.84,97,100,1.02,CN,1676232911
516,poum,-20.2333,164.0167,25.5,63,70,5.95,NC,1676232912
517,chumikan,54.7183,135.315,-22.81,93,98,6.28,RU,1676232742
518,buta,2.7858,24.73,28.39,32,100,0.18,CD,1676232916
519,champerico,14.3,-91.9167,35.3,60,0,4.95,GT,1676232917
520,salaga,8.5508,-0.5188,33.62,9,4,2.06,GH,1676232919
521,victoria falls,-17.9235,25.843,23.26,54,69,1.96,ZW,1676232922
522,westport,41.1415,-73.3579,9.13,42,0,0.0,US,1676232711
523,rawson,-43.3002,-65.1023,19.0,56,92,7.85,AR,1676232925
524,waipawa,-41.4122,175.5153,15.66,79,99,6.14,NZ,1676232926
525,luklukan,14.3254,122.7124,23.57,92,83,3.71,PH,1676232927
526,zaraza,9.3503,-65.3245,30.38,46,99,5.04,VE,1676232928
527,zhuanghe,39.7008,122.9911,-2.57,48,65,5.57,CN,1676232929
528,kalaleh,37.3807,55.4916,2.2,77,100,0.8,IR,1676232930
529,felanitx,39.4696,3.1483,9.29,77,0,1.36,ES,1676232931
530,madang,-5.2246,145.7966,23.89,96,100,1.08,PG,1676232934
531,muskogee,35.5834,-95.3336,17.04,32,0,7.2,US,1676232935
532,zhaozhou,45.6833,125.3167,-16.79,94,18,2.82,CN,1676232936
533,tabou,4.423,-7.3528,26.78,84,6,2.68,CI,1676232938
534,nouadhibou,20.931,-17.0347,17.99,88,100,6.17,MR,1676232939
535,haines junction,60.7522,-137.5108,-5.03,80,100,0.0,CA,1676232939
536,sete,43.4018,3.6966,5.92,69,0,0.54,FR,1676232940
537,wasilla,61.5814,-149.4394,-2.47,93,100,2.57,US,1676232941
538,marawi,7.9986,124.2928,19.23,96,100,0.23,PH,1676232941
539,mogadishu,2.0371,45.3438,24.85,85,0,10.15,SO,1676232943
540,kalmunai,7.4167,81.8167,22.58,82,82,2.57,LK,1676232943
541,baykit,61.67,96.37,-26.73,100,92,0.69,RU,1676232944
542,buala,-8.145,159.5921,26.93,81,100,2.38,SB,1676232945
543,dabakala,8.3667,-4.4333,31.55,24,0,0.66,CI,1676232946
544,ruwi,23.5996,58.5507,21.83,63,0,2.78,OM,1676232948
545,negombo,7.2083,79.8358,24.03,83,0,3.6,LK,1676232949
546,marsa matruh,31.3525,27.2453,13.27,54,100,4.52,EG,1676232952
547,yarega,63.4354,53.5765,-18.41,100,100,1.53,RU,1676232953
548,pocola,35.2312,-94.478,16.77,39,0,1.54,US,1676232954
549,lincoln,40.8,-96.667,11.67,44,0,4.63,US,1676232858
550,canutama,-6.5339,-64.3831,28.52,85,92,0.31,BR,1676232956
551,eureka,40.8021,-124.1637,13.44,73,6,2.24,US,1676232957
552,la asuncion,11.0333,-63.8628,25.35,77,96,8.61,VE,1676232958
553,mareeba,-17.0,145.4333,22.47,90,100,0.98,AU,1676232958
554,owando,-0.4819,15.8999,27.31,38,100,1.78,CG,1676232960
555,wilmington,34.2257,-77.9447,16.11,68,100,5.14,US,1676232936
556,coahuayana,18.7333,-103.6833,32.68,31,0,3.83,MX,1676232966
557,nizhniy kuranakh,58.8353,125.4869,-14.64,92,100,4.64,RU,1676232739
558,simao,22.7886,100.9748,10.87,46,0,0.4,CN,1676232968
559,caloundra,-26.8,153.1333,23.27,94,11,3.31,AU,1676232969
560,keti bandar,24.1447,67.4497,22.29,26,0,4.54,PK,1676232970
561,juba,4.8517,31.5825,28.92,20,2,2.39,SS,1676232971
562,sovetskiy,61.3614,63.5842,-8.43,96,100,3.62,RU,1676232973
563,maracaju,-21.6144,-55.1683,24.7,78,96,2.36,BR,1676232974
564,montrose,38.4166,-108.2673,3.03,54,93,0.56,US,1676232976
565,yarmouth,41.7057,-70.2286,8.31,67,0,4.12,US,1676232779
566,veracruz,19.3333,-96.6667,22.33,47,73,3.28,MX,1676232931
567,kaura namoda,12.5898,6.5779,24.81,13,0,4.47,NG,1676232981
568,viedma,-40.8135,-62.9967,32.53,20,1,1.01,AR,1676232982
569,kungurtug,50.5994,97.5228,-25.33,93,32,1.03,RU,1676232811
570,kutum,14.2,24.6667,18.99,19,0,4.3,SD,1676232986
